City,Category,Place,Location (geocode query),Country
Tokyo,Attractions & Temples,Meiji Jingu,"Meiji Jingu, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Sensō-ji,"Sensō-ji, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Takeshita Street,"Takeshita Street, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Shibuya Scramble Crossing,"Shibuya Scramble Crossing, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Imperial Palace,"Imperial Palace, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Ueno Zoological Gardens,"Ueno Zoological Gardens, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Asakusa,"Asakusa, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Akihabara,"Akihabara, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Roppongi,"Roppongi, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tokyo Tower,"Tokyo Tower, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Nezu Museum,"Nezu Museum, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Shinjuku Golden-Gai,"Shinjuku Golden-Gai, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Mitsukoshi Ginza,"Mitsukoshi Ginza, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,ART AQUARIUM MUSEUM,"ART AQUARIUM MUSEUM, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,GINZA SIX,"GINZA SIX, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Shinjuku Gyoen National Garden,"Shinjuku Gyoen National Garden, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,teamLab Planets,"teamLab Planets, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tsukiji Outer Market,"Tsukiji Outer Market, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tokyo Skytree,"Tokyo Skytree, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Mori Art Museum,"Mori Art Museum, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Hachikō Memorial Statue,"Hachikō Memorial Statue, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tokyo Disneyland,"Tokyo Disneyland, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tokyo DisneySea,"Tokyo DisneySea, Tokyo, Japan",Japan
Tokyo,Attractions & Temples,Tokyo National Museum,"Tokyo National Museum, Tokyo, Japan",Japan
